anime_name,anime_season,anime_type
武藏君和村山同学开始交往了,201707,恋爱 泡面番 
无责任银河 泰勒,201707,冒险 奇幻 泡面番 
魔法少女奈叶剧场版合集,201707,冒险 奇幻 百合 动作 剧场版 
想要传达你的声音,201707,恋爱 剧场版 
黑色五叶草,201710,青春 热血 
银魂·走光篇,201710,搞笑 热血 冒险 
杀戮重生犬屋敷,201710,科幻 冒险 
侧边车搭档,201710,青春 
Infini-T Force,201710,科幻 热血 
牙狼 -VANISHING LINE-,201710,热血 冒险 动作 
血界战线第二季,201710,热血 冒险 奇幻 
食戟之灵 第三季,201710,热血 后宫 
Dies irae,201710,游戏 奇幻 
国王游戏,201710,冒险 
URAHARA,201710,奇幻 美少女 
爱米 第2季,201710,搞笑 
LoveLive!Sunshine!! 第二季,201710,青春 美少女 
Just Because!,201710,恋爱 
我们的爱总是只有10厘米。告白实行委员会,201710,
大正小小先生,201710,泡面番 乙女 
巴加的工作室,201710,治愈系 奇幻 
逆光之颤,201710,热血 冒险 奇幻 
超能力者齐木楠雄的灾难 真人版,201710,真人 冒险 奇幻 恋爱 
fate stay night heaven's feel 剧场版,201710,热血 冒险 奇幻 剧场版 
伊藤润二 恐怖收集,201801,恐怖 
刻刻-时间暂停-,201801,冒险 奇幻 
恋如雨止,201801,青春 恋爱 
DAME×PRINCE ANIME CARAVAN,201801,搞笑 恋爱 乙女 
爱吃拉面的小泉同学,201801,治愈系 美少女 百合 
怪兽娘～奥特怪兽拟人化计划～ 第二季,201801,奇幻 美少女 泡面番 
刀剑乱舞-花丸- 第二季,201801,耽美 冒险 乙女 
POP TEAM EPIC,201801,搞笑 泡面番 
牙斗兽娘,201801,热血 奇幻 动作 
Idolish7,201801,搞笑 乙女 
BEATLESS-没有心跳的少女,201801,冒险 奇幻 
龙王的工作！,201801,搞笑 治愈系 青春 
学园奶爸,201801,搞笑 治愈系 
比宇宙更遥远的地方,201801,冒险 美少女 百合 
酒鬼妹子,201801,治愈系 美少女 
新干线变形机器人,201801,热血 冒险 奇幻 
七美德,201801,冒险 奇幻 
银魂第五季：银之魂篇,201801,热血 冒险 奇幻 动作 
卫宫家今天的饭,201801,治愈系 奇幻 
叫我僵小鱼 第二季,201801,治愈系 奇幻 
宿舍不日常 第三季,201801,搞笑 青春 
Overlord第二季sp,201801,搞笑 装逼 轻小说 奇幻 
RWBY 第五季,201801,热血 动作 
"鲁邦三世再见了伙伴,鲁邦三世",201801,热血 冒险 动作 
女神异闻录5,201804,科幻 游戏 冒险 
雷顿神秘侦探社～卡特莉的解谜事件簿～,201804,搞笑 推理 
立花馆恋爱三角铃,201804,恋爱 百合 
漫画女孩,201804,治愈系 百合 
信长的忍者 第三季,201804,搞笑 泡面番 
命运石之门0,201804,推理 冒险 奇幻 
东京搜查官RE,201804,热血 冒险 奇幻 
B：彼之初,201804,科幻 推理 
踏切时间,201804,青春 百合 泡面番 
奴隶区：我和我的23个奴隶,201804,恐怖 冒险 
你还是不懂群马,201804,搞笑 青春 
A.I.C.O. Incarnation,201804,科幻 冒险 
足球小将翼,201804,运动 热血 励志 
ALICE or ALICE,201804,搞笑 后宫 
捷德奥特曼剧场版,201804,热血 冒险 奇幻 动作 剧场版 
吹响吧！上低音号2～想要传达的旋律,201804,励志 百合 剧场版 
Code Geass 反叛的鲁路修剧场版,201804,机战 剧场版 
多田君不谈恋爱,201804,青春 恋爱 
银河英雄传说 Die Neue These 邂逅,201804,科幻 励志 
闪电十一人 阿瑞斯的天秤,201804,运动 励志 
我的英雄学院 第三季,201804,热血 冒险 奇幻 动作 
棒球大联盟 2nd,201804,热血 励志 
蓝海少女 第二季,201804,运动 青春 美少女 
魔性之线,201804,恋爱 
魔法少女网站,201804,奇幻 美少女 
Hisone与Masotan,201804,科幻 治愈系 
SNS警察,201804,搞笑 
食戟之灵第三季 远月列车篇,201804,热血 后宫 
ReLIFE完结篇,201804,科幻 青春 
LayereD Stories 0,201804,科幻 冒险 
鲁邦三世 第五季,201804,推理 冒险 
鬼灯的冷彻 第贰期 其之贰,201804,搞笑 奇幻 
魔神Z剧场版,201804,机战 热血 剧场版 
实验品家庭,201804,科幻 
玛丽与魔女之花,201804,冒险 奇幻 独立电影 剧场版 
冲吧烈子,201804,励志 
战斗陀螺 爆裂 超Z,201804,运动 热血 冒险 
传颂之物OVA,201804,游戏 后宫 奇幻 美少女 
卡片战斗先导者2018,201804,游戏 热血 奇幻 
未来卡搭档对战X·全明星对战,201804,科幻 冒险 
鬼太郎第6期,201804,搞笑 
窈窕淑女剧场版,201804,恋爱 
何色之彩,201804,治愈系 
RWBY CHIBI 第三季,201804,搞笑 奇幻 泡面番 
吃鸡大作战,201804,搞笑 游戏 动作 
噬神者 共鸣作战,201804,游戏 机战 热血 
巨兵长城传 第一季,201804,热血 冒险 
进击的巨人第三季,201807,热血 奇幻 动作 
ISLAND,201807,科幻 恋爱 
Happy Sugar Life,201807,治愈系 美少女 百合 
春原庄的管理人,201807,搞笑 
暮光幻影（日配）,201807,乙女 
某僵尸少女的灾难,201807,恐怖 
魔法律事务所,201807,推理 奇幻 
百炼霸王与圣约女武神,201807,装逼 后宫 
天才玩偶,201807,动作 
ZOIDS WILD,201807,热血 
Angolmois 元寇合战记,201807,
暗芝居 第6季,201807,恐怖 
偶像大师灰姑娘剧场 第3期,201807,搞笑 百合 泡面番 
新刃牙-死囚篇,201807,热血 动作 
未来卡 神之搭档对战,201807,科幻 冒险 
笑傲阴天剧场版,201807,热血 
忍者蝙蝠侠,201807,动作 剧场版 
烤肉店战国,201807,励志 泡面番 
FLCL Alternative&Progressive,201807,科幻 推理 恋爱 
怪物弹珠 第三季,201807,搞笑 冒险 奇幻 
摆出讨厌的表情露出胖次,201807,治愈系 
尽量加油吧！魔法少女胡桃,201807,美少女 
约定的七夜祭,201807,治愈系 恋爱 
肆式青春,201807,青春 独立电影 
镜光传说 小剧场,201807,泡面番 
Infini-T Force剧场版 飞鹰侠 再见了朋友,201807,科幻 热血 剧场版 
银魂2 -世界奇妙银魂物语-,201807,搞笑 真人 奇幻 
假面骑士时王,201807,真人 
未来机器城,201807,科幻 冒险 独立电影 
暮光幻影（中配）,201807,冒险 乙女 
暮光下午茶,201807,泡面番 
SERVAMP 吸血鬼仆人 剧场版,201810,青春 奇幻 
魔法禁书目录第三季,201810,萝莉 电击文库 热血 轻小说 后宫 
刀剑神域 Alicization,201810,科幻 游戏 电击文库 冒险 动作 
哥布林杀手,201810,冒险 奇幻 
青春猪头少年不会梦到兔女郎学姐,201810,青春 恋爱 
欢迎光临千岁酱,201810,治愈系 泡面番 
逆转裁判第二季,201810,搞笑 游戏 推理 
黄金神威第二季,201810,热血 冒险 
强风吹拂,201810,运动 热血 
关于我转生变成史莱姆这档事,201810,轻小说 后宫 
为我而生,201810,后宫 奇幻 
DOUBLE DECKER! 道格&西里尔,201810,科幻 冒险 
寄宿学校的朱丽叶,201810,恋爱 
我让最想被拥抱的男人给威胁了,201810,耽美 
JOJO的奇妙冒险 黄金之风,201810,冒险 
弦音-风舞高中弓道部,201810,运动 
Radiant,201810,热血 
Anima Yell!,201810,运动 美少女 
书店里的骷髅店员本田,201810,搞笑 
ingress,201810,科幻 
只要贝尔哲布布大小姐喜欢就好,201810,恋爱 
不受欢迎之家,201810,百合 
电光超人古立特,201810,机战 
东京搜查官：re 第二季,201810,热血 冒险 奇幻 
梅露可物语 : 无精打采的少年与瓶中少女,201810,游戏 
火之丸相扑,201810,运动 热血 
来自多彩世界的明天,201810,青春 
妖精的尾巴最终章,201810,热血 冒险 奇幻 
尤利西斯：贞德与炼金的骑士,201810,冒险 奇幻 
闪乱神乐第二季 SHINOVI MASTER -东京妖魔篇-,201810,美少女 
嫁给非人类,201810,奇幻 
圣斗士星矢 圣斗少女翔,201810,热血 
BAKUMATSU 恋爱幕末男友,201810,耽美 
喂，看见耳朵啦,201810,搞笑 
恶魔城 第二季,201810,奇幻 动作 
能继续奔跑下去真是太好了。,201810,励志 
狐狸之声,201810,励志 
Devidol！,201810,青春 美少女 
轩辕剑·苍之曜,201810,冒险 
《GIFT±》,201810,恐怖 冒险 
爆钓BARHUNTER,201810,运动 
麟&犀AI韵律2,201810,美少女 
那时的她。,201810,泡面番 
大人的防具店,201810,后宫 
爱玩怪兽,201810,搞笑 
闪电十一人 猎户座的刻印,201810,运动 
一日外出录班长,201810,
FLCL Alternative,201810,科幻 
魔法少女莉莉卡&露露卡,201810,美少女 
RWBY 第六季,201810,奇幻 
